//Для удобства обслуживания список отсортирован в алфавитном порядке.
ﻰﻟﺇ ﻝﻮﺧﺪﻟﺍ ;ﻝﻮﺧﺩ
ﻦﻴﺟﻮﻤﻴﻬﻟﺍ ﺀﺎﻄﻋﺇ ;ﻦﻴﺟﻮﻤﻴﻫ ﺀﺎﻄﻋﺇ
ﻦﻣ ﺕﺎﻨﻴﺠﻟﺍ ﺝﺍﺮﺨﺘﺳﺍ ;ﻦﻣ ﺕﺎﻨﻴﺟ ﺝﺍﺮﺨﺘﺳﺍ
ﻲﻓ ﺮﺻﺎﻨﻌﻟﺍ ﻞﻴﻤﺤﺗ ;ﻲﻓ ﺮﺻﺎﻨﻌﻟﺍ ﻞﻴﻤﺤﺗ
ﻲﻓ ﺩﺭﺍﻮﻤﻟﺍ ﻞﻴﻤﺤﺗ ;ﻲﻓ ﺩﺭﺍﻮﻤﻟﺍ ﻞﻴﻤﺤﺗ
ﺩﻮﻗﻮﻟﺎﺑ ﺪﻳﻭﺰﺗ ;ﺩﻮﻗﻮﻟﺎﺑ ﺪﻳﻭﺰﺗ
ﻎﻳﺮﻔﺗ ;ﻎﻳﺮﻔﺗ
ـﻟ ﻦﻴﺟﻮﻤﻴﻬﻟﺍ ﻞﻘﻧ ;ـﻟ ﻦﻴﺟﻮﻤﻴﻫ ﻞﻘﻧ
ﻉﺎﺿﺭﻺﻟ ﻡﻷﺍ ﻰﻟﺇ ﻞﻘﻧ ;ﻉﺎﺿﺭﻺﻟ ﻡﻷﺍ ﻰﻟﺇ ﻞﻘﻧ
ﻍﺎﻣﺪﻟﺍ ﺢﺴﻤﻟ ﻞﻘﻧ ;ﻍﺎﻣﺪﻟﺍ ﺢﺴﻤﻟ ﻞﻘﻧ
ﻞﻘﻧ ;ﻞﻘﻧ
ﻊﻣ ﺐﻌﻠﻟﺍ ;ﻊﻣ ﺐﻌﻟ
ﻡﺎﻌﻃﺇ ;ﻡﺎﻌﻃﺇ
ﻲﻌﻴﺒﻄﻟﺍ ﻉﺎﺿﺭﻹﺍ ;ﻲﻌﻴﺒﻃ ﻉﺎﺿﺭﺇ
ﻚﻨﺒﻟﺍ ﻲﻓ ﻊﺿﻭ ;ﻚﻨﺒﻟﺍ ﻲﻓ ﻊﺿﻭ
ﺡﻼﺻﺇ ;ﺡﻼﺻﺇ
ﺱﺭﺩ ﺀﺎﻄﻋﺇ ;ﺱﺭﺩ ﺀﺎﻄﻋﺇ
ﻡﺍﺪﺨﺘﺳﺎﺑ ﻮﻨﻳﺯ ﺓﺭﺬﺑ ﺀﺎﺸﻧﺇ ;ﻡﺍﺪﺨﺘﺳﺎﺑ ﻮﻨﻳﺯ ﺓﺭﺬﺑ ﺀﺎﺸﻧﺇ
ﺫﺎﻘﻧﺇ ;ﺫﺎﻘﻧﺇ
ﻮﻤﻨﻟﺍ ﻊﻳﺮﺴﺗ ;ﻮﻤﻨﻟﺍ ﻊﻳﺮﺴﺗ
ﺙﻮﻠﺘﻟﺍ ﺔﻟﺍﺯﺇ ;ﺙﻮﻠﺘﻟﺍ ﺔﻟﺍﺯﺇ
