// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
ﻥﻭﺮﻤﻌﺘﺴﻣ;ﺮﻤﻌﺘﺴﻣ :Example //
// ---
ﺕﺎﻧﻮﺘﻳﺮﻛﻮﺑﺃ;ﻥﻮﺘﻳﺮﻛﻮﺑﺃ
ﻥﻭﺅﺎﻨﺑ;ﺀﺎّﻨﺑ
ﻥﻮﺒﺋﺎﺗ;ﺐﺋﺎﺗ
ﻊﺑﺍﻮﺗ;ﻊﺑﺎﺗ
ﺔﻨﻳﺪﻤﻟﺍ ﺭﺎﺠﺗ;ﺔﻨﻳﺪﻤﻟﺍ ﺮﺟﺎﺗ
ﺕﺎﺑﻮﻟﺎﺴﻛﻮﺗ;ﺏﻮﻟﺎﺴﻛﻮﺗ
ﺕﺎﻧﻭﺮﻴﺴﻴﺗ;ﻥﻭﺮﻴﺴﻴﺗ
ﺕﺎﻳﺎﻔﻨﻟﺍ ﻥﺍﺫﺮﺟ;ﺕﺎﻳﺎﻔﻨﻟﺍ ﺫﺮﺟ
ﺩﻮﻨﺟ;ﻱﺪﻨﺟ
ﺔﻨﻳﺪﻤﻟﺍ ﺱﺍﺮﺣ;ﺔﻨﻳﺪﻤﻟﺍ ﺱﺭﺎﺣ
ﻥﻭﺭﺎﻔﺣ;ﺭﺎﻔﺣ
ﺔﺒﺨﻧ ﺮﻳﺯﺎﻨﺧ;ﺔﺒﺨﻧ ﺮﻳﺰﻨﺧ
ﺕﺎﺳﻮﻟﻮﺑﺎﻳﺩ;ﺱﻮﻟﻮﺑﺎﻳﺩ
ﻥﻮﻌﻓﺍﺭ;ﻊﻓﺍﺭ
ﺮﺘﺴﻳﻭ ﻞﺑﺎﻨﻗ ﻮﻣﺍﺭ;ﺮﺘﺴﻳﻭ ﻞﺑﺎﻨﻗ ﻲﻣﺍﺭ
ﺓﺎﻣﺭ;ٍﻡﺍﺭ
ﺮﺘﺴﻳﻭ ﺀﺎﻤﻋﺯ;ﺮﺘﺴﻳﻭ ﻢﻴﻋﺯ
ﺝﺎﻓﻮﻐﻧﺎﺳ;ﺝﺎﻓﻮﻐﻧﺎﺳ
ﺔﻗﺰﺗﺮﻣ ﻥﻮﺣﺎﻔﺳ;ﻕﺰﺗﺮﻣ ﺡﺎﻔﺳ
ﺮﺘﺴﻳﻭ ﻮﺣﺎﻔﺳ;ﺮﺘﺴﻳﻭ ﺡﺎﻔﺳ
ﺕﺎﻧﻮﻳﺭﻮﺘﻨﺳ;ﻥﻮﻳﺭﻮﺘﻨﺳ
ﻉﺎﻨﺻ;ﻊﻧﺎﺻ
ﻥﻭﺩﺎﻴﺻ;ﺩﺎﻴﺻ
ﻦﻴﺸﺑﺎﻧ ﻮﺑﺭﺎﺿ;ﺶﺑﺎﻧ ﺏﺭﺎﺿ
ﺔﻨﻳﺪﻤﻟﺍ ﺲﻠﺠﻣ ﺀﺎﻀﻋﺃ;ﺔﻨﻳﺪﻤﻟﺍ ﺲﻠﺠﻣ ﻮﻀﻋ
ﻥﻮﻴﻘﻠﻴﻓ;ﻲﻘﻠﻴﻓ
ﻥﻮﻳﻭﺮﻗ;ﻱﻭﺮﻗ
ﺮﻳﺯﺎﻨﺧ ﻥﻮﺻﺎﻨﻗ;ﺮﻳﺰﻨﺧ ﺹﺎﻨﻗ
ﺔﻨﺻﺍﺮﻗ ﻥﻮﺻﺎﻨﻗ;ﻥﺎﺻﺮﻗ ﺹﺎﻨﻗ
ﻥﻮﻓﺮﺘﺤﻣ ﻥﻮﺻﺎﻨﻗ;ﻑﺮﺘﺤﻣ ﺹﺎﻨﻗ
ﺔﻗﺰﺗﺮﻣ ﻥﻮﺻﺎﻨﻗ;ﻕﺰﺗﺮﻣ ﺹﺎﻨﻗ
ﻥﻮﺸﺑﺎﻧ ﻥﻮﺻﺎﻨﻗ;ﺶﺑﺎﻧ ﺹﺎﻨﻗ
ﺮﺘﺴﻳﻭ ﻮﺻﺎﻨﻗ;ﺮﺘﺴﻳﻭ ﺹﺎﻨﻗ
ﺏﺮﺣ ﺬﻓﺎﻨﻗ;ﺏﺮﺣ ﺬﻔﻨﻗ
ﻥﻮﺳﺎﻨﻛ;ﺱﺎﻨﻛ
ﻥﻮﻋﺫﻻ;ﻉﺫﻻ
ﻥﻮﻟﻮﺠﺘﻣ;ﻝﻮﺠﺘﻣ
ﻥﻮﺑﺭﺎﺤﻣ;ﺏﺭﺎﺤﻣ
ﺀﻼﻘﺛ ﺔﻗﺰﺗﺮﻣ;ﻞﻴﻘﺛ ﻕﺰﺗﺮﻣ
ﺔﺒﺨﻧ ﺔﻗﺰﺗﺮﻣ;ﺔﺒﺨﻧ ﻕﺰﺗﺮﻣ
ﻥﻮﻔﻌﺴﻣ;ﻒﻌﺴﻣ
ﺏﺮﺤﻟﺍ ﺕﺎﻜﻠﻣ;ﺏﺮﺤﻟﺍ ﺔﻜﻠﻣ
ﺕﺍﺭﻮﺘﻴﻧﺎﻜﻴﻣ;ﺭﻮﺘﻴﻧﺎﻜﻴﻣ
ﺀﻼﻘﺛ ﺮﺘﺴﻳﻭ;ﻞﻴﻘﺛ ﺮﺘﺴﻳﻭ
ﺔﺒﺨﻧ ﺮﺘﺴﻳﻭ;ﺔﺒﺨﻧ ﺮﺘﺴﻳﻭ
ﺔﻴﻋﺍﺭﺯ ٍﺪﻳﺃ;ﺔﻴﻋﺍﺭﺯ ﺪﻳ
