// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
ﻥﻭﺮﻤﻌﺘﺴﻣ;ﺮﻤﻌﺘﺴﻣ :Example //
// ---
ﻮﻠﻳﺩﺎﻣﺭﺃ;ﻮﻠﻳﺩﺎﻣﺭﺃ
ﺮﺤﺒﻟﺍ ﺩﻮﺳﺃ;ﺮﺤﺒﻟﺍ ﺪﺳﺃ
ﺕﺍﺪﻧﺎﺑ;ﺍﺪﻧﺎﺑ
ﻊﺠﺑ;ﺔﻌﺠﺑ
ﻖﻳﺭﺎﻄﺑ;ﻖﻳﺮﻄﺑ
ﻦﻴﺷﻼﺑ;ﻥﻮﺸﻠﺑ
ﺢﻴﺳﺎﻤﺗ;ﺡﺎﺴﻤﺗ
ﺎﻔﻟﺃ ﺕﺎﻫﻮﺒﻣﻭﺮﺛ;ﺎﻔﻟﺃ ﻮﺒﻣﻭﺮﺛ
ﻚﺴﻤﻟﺍ ﻥﺍﺮﻴﺛ;ﻚﺴﻤﻟﺍ ﺭﻮﺛ
ﺩﺍﺮﺟ;ﺓﺩﺍﺮﺟ
ﻡﺎﻜﺣ;ﻢﻛﺎﺣ
ﻢﻤﺤﻟﺍ ﺕﺎﻧﻭﺰﻠﺣ;ﻢﻤﺤﻟﺍ ﻥﻭﺰﻠﺣ
ﺔﺳﺭﺎﺣ ﺕﺎﻧﻭﺭﺩ;ﺱﺭﺎﺣ ﻥﻭﺭﺩ
ﺓﺩﺎﻴﺻ ﺕﺎﻧﻭﺭﺩ;ﺩﺎﻴﺻ ﻥﻭﺭﺩ
ﺔﻤﻴﻈﻋ ﺏﺎﺋﺫ;ﻢﻴﻈﻋ ﺐﺋﺫ
ﺮﻴﺑﺎﻧﺯ;ﺭﻮﺒﻧﺯ
ﺲﺑﻮﻠﻜﻳﺎﺳ;ﺲﺑﻮﻠﻜﻳﺎﺳ
ﻚﺳﺎﻨﻟﺍ ﺕﺎﻧﺎﻃﺮﺳ;ﻚﺳﺎﻨﻟﺍ ﻥﺎﻃﺮﺳ
ﺔﻳﺮﺠﺣ ﺕﺎﻧﺎﻃﺮﺳ;ﻱﺮﺠﺣ ﻥﺎﻃﺮﺳ
ﺔﻳﺮﺤﺑ ﻒﺣﻼﺳ;ﺔﻳﺮﺤﺑ ﺓﺎﻔﺤﻠﺳ
ﺕﺎﻧﺎﻤﺳ;ﻥﺎﻤﺳ
ﺭﻮﺜﻟﺍ ﻉﺩﺎﻔﺿ;ﺭﻮﺜﻟﺍ ﻉﺪﻔﺿ
ﺀﺎﻗﺭﺯ ﺭﻮﻴﻃ;ﻕﺭﺯﺃ ﺮﺋﺎﻃ
ﺲﻳﻭﺍﻮﻃ;ﺱﻭﻭﺎﻃ
ﺮﻴﻓﺎﺼﻋ;ﺭﻮﻔﺼﻋ
ﻢﻗﺎﻃ ﺀﺎﻀﻋﺃ;ﻢﻗﺎﻃ ﻮﻀﻋ
ﺔﻤﺨﺿ ﺮﺑﺎﻜﻋ;ﻢﺨﺿ ﺮﺒﻜﻋ
ﺔﻤﻴﻈﻋ ﻢﻴﺟﻼﻋ;ﻢﻴﻈﻋ ﻡﻮﺠﻠﻋ
ﻥﺎﺑﺮﻏ;ﺏﺍﺮﻏ
ﺕﺍﺮﻳﺮﻏ;ﺮﻳﺮﻏ
ﺕﻼﻳﺭﻮﻏ;ﻼﻳﺭﻮﻏ
ﺮﻬﻨﻟﺍ ﺱﺍﺮﻓﺃ;ﺮﻬﻨﻟﺍ ﺱﺮﻓ
ﻅﺍﻮﻓﺃ;ﻆﻓ
ﺕﺎﻤﻘﻓ;ﺔﻤﻘﻓ
ﻮﻐﻨﻴﻣﻼﻓ;ﻮﻐﻨﻴﻣﻼﻓ
ﺔﺑﺎﻘﻨﻟﺍ ﻮﻌﻃﺎﻗ;ﺔﺑﺎﻘﻨﻟﺍ ﻊﻃﺎﻗ
ﻰﻣﺍﺪﻗ ﺔﻠﻃﺎﺒﻗ;ﻢﻳﺪﻗ ﻥﺎﻄﺒﻗ
ﻥﻮﺒﻫﺎﻧ ﺔﻨﺻﺍﺮﻗ;ﺐﻫﺎﻧ ﻥﺎﺻﺮﻗ
ﺕﺎﻋﺎﻀﻗ;ﺔﻋﺎﻀﻗ
ﻒﻴﺴﻟﺍ ﻂﻄﻗ;ﻒﻴﺴﻟﺍ ﺔﻄﻗ
ﻱﺭﺍﺮﺒﻟﺍ ﺏﻼﻛ;ﻱﺭﺍﺮﺒﻟﺍ ﺐﻠﻛ
ﻊﻘﻨﺘﺴﻤﻟﺍ ﺏﻼﻛ;ﻊﻘﻨﺘﺴﻤﻟﺍ ﺐﻠﻛ
ﺕﺎﻧﻭﺩﻮﺘﺳﺎﻣ;ﻥﻭﺩﻮﺘﺳﺎﻣ
ﺔﺑﺎﻘﻨﻟﺍ ﻮﺼﺼﺨﺘﻣ;ﺔﺑﺎﻘﻨﻟﺍ ﺺﺼﺨﺘﻣ
ﻥﻮﺟﺩﺮﺨﻣ;ﺝﺩﺮﺨﻣ
ﺔﺑﺎﻘﻨﻟﺍ ﻮﻴﻌﻓﺪﻣ;ﺔﺑﺎﻘﻨﻟﺍ ﻲﻌﻓﺪﻣ
ﺀﻼﻘﺛ ﻥﻮﻴﻌﻓﺪﻣ;ﻞﻴﻘﺛ ﻲﻌﻓﺪﻣ
ﺕﺍﻭﺎﻜﻣ;ﻭﺎﻜﻣ
