// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
ﻥﻭﺮﻤﻌﺘﺴﻣ;ﺮﻤﻌﺘﺴﻣ :Example //
// ---
ﺔﻳﺭﺎﺸﻜﻧﺍ;ﻱﺭﺎﺸﻜﻧﺍ
ﺕﺎﻧﻭﺭﺎﺑ;ﻥﻭﺭﺎﺑ
ﺕﺍﺭﻮﺘﻳﺍﺮﺑ;ﺭﻮﺘﻳﺍﺮﺑ
ﻝﺎﻄﺑﺃ;ﻞﻄﺑ
ﻥﻮﻳﺭﻮﻃﺍﺮﺒﻣﺇ ﺭﺎﺠﺗ;ﻱﺭﻮﻃﺍﺮﺒﻣﺇ ﺮﺟﺎﺗ
ﺩﻮﻨﺟ;ﻱﺪﻨﺟ
ﻥﻮﻳﺭﻮﻃﺍﺮﺒﻣﺇ ﻞﺑﺎﻨﻗ ﺩﻮﻨﺟ;ﻱﺭﻮﻃﺍﺮﺒﻣﺇ ﻞﺑﺎﻨﻗ ﻱﺪﻨﺟ
ﻥﻮﻴﻤﺠﻧ ﺱﺍﺮﺣ;ﻲﻤﺠﻧ ﺱﺭﺎﺣ
ﺕﺎﻗﻭﺩ;ﻕﻭﺩ
ﺕﺎﻛﺭﻼﻴﺘﺳ;ﻙﺭﻼﻴﺘﺳ
ﻥﻮﻳﺭﻮﻃﺍﺮﺒﻣﺇ ﻥﻮﻠﻣﺎﻋ;ﻱﺭﻮﻃﺍﺮﺒﻣﺇ ﻞﻣﺎﻋ
ﺪﻴﺒﻋ;ﺪﺒﻋ
ﻥﺎﺳﺮﻓ;ﺱﺭﺎﻓ
ﻞﺻﺎﻨﻗ;ﻞﺼﻨﻗ
ﺖﻛﺮﻓﺎﺗﺎﻛ;ﺖﻛﺮﻓﺎﺗﺎﻛ
ﺕﺎﺘﻧﻮﻛ;ﺖﻧﻮﻛ
ﻥﻮﺌﺟﻻ;ﺊﺟﻻ
ﻥﻮﺤﻧﺎﻣ;ﺢﻧﺎﻣ
ﻥﻮﻴﻤﺠﻧ ﻥﻮﻌﻓﺍﺪﻣ;ﻲﻤﺠﻧ ﻊﻓﺍﺪﻣ
ﻥﻮﻘﻓﺍﺮﻣ;ﻖﻓﺍﺮﻣ
ﻥﻮﻳﺭﻮﻃﺍﺮﺒﻣﺇ ﻥﻮﻨﻃﺍﻮﻣ;ﻱﺭﻮﻃﺍﺮﺒﻣﺇ ﻦﻃﺍﻮﻣ
ﺀﻼﺒﻧ;ﻞﻴﺒﻧ
ﻥﺎﻣﻮﺟ;ﻥﺎﻣﻮﺟ
