// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
// Example: مستعمر;مستعمرون
// ---
أصبع شائك;أصابع شائكة
باحث;باحثون
باحث مظلم;باحثون مظلمون
تابع أعلى;توابع عليا
جندي مترنح;جنود مترنحون
رعب معدني;أرعاب معدنية
رعب ممتزج;أرعاب ممتزجة
سارق البصر;سارقو البصر
شوكة ثلاثية;شوك ثلاثية
شوكة قوية;شوك قوية
عائد;عائدون
عاقد صفقات;عاقدو صفقات
عبقري وحيد;عباقرة وحيدون
غريب جلدي;غرباء جلديون
غورهالك;غورهالك
غول;غيلان
قناص تابع أدنى;قناصون توابع دنيا
كائن عابر للزمن;كائنات عابرة للزمن
كرة الألم;كرات الألم
كيميرا;كيميرات
متسربل مترنح;متسربلون مترنحون
متشرد;متشردون
معالج أعمى;معالجون عميان
مفترس;مفترسون
مقاتل تابع أدنى;مقاتلون توابع دنيا
مهووس المصابيح;مهووسو المصابيح
نواة كتلة اللحم;نويات كتل اللحم
نوكتول;نوكتول
هائل الدم;هائلو الدم
هارب من طائفة;هاربون من طوائف
