// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
// Example: مستعمر;مستعمرون
// ---
أبوكريتون;أبوكريتونات
بنّاء;بناؤون
تائب;تائبون
تابع;توابع
تاجر المدينة;تجار المدينة
توكسالوب;توكسالوبات
تيسيرون;تيسيرونات
جرذ النفايات;جرذان النفايات
جندي;جنود
حارس المدينة;حراس المدينة
حفار;حفارون
خنزير نخبة;خنازير نخبة
ديابولوس;ديابولوسات
رافع;رافعون
رامي قنابل ويستر;رامو قنابل ويستر
رامٍ;رماة
زعيم ويستر;زعماء ويستر
سانغوفاج;سانغوفاج
سفاح مرتزق;سفاحون مرتزقة
سفاح ويستر;سفاحو ويستر
سنتوريون;سنتوريونات
صانع;صناع
صياد;صيادون
ضارب نابش;ضاربو نابشين
عضو مجلس المدينة;أعضاء مجلس المدينة
فيلقي;فيلقيون
قروي;قرويون
قناص خنزير;قناصون خنازير
قناص قرصان;قناصون قراصنة
قناص محترف;قناصون محترفون
قناص مرتزق;قناصون مرتزقة
قناص نابش;قناصون نابشون
قناص ويستر;قناصو ويستر
قنفذ حرب;قنافذ حرب
كناس;كناسون
لاذع;لاذعون
متجول;متجولون
محارب;محاربون
مرتزق ثقيل;مرتزقة ثقلاء
مرتزق نخبة;مرتزقة نخبة
مسعف;مسعفون
ملكة الحرب;ملكات الحرب
ميكانيتور;ميكانيتورات
ويستر ثقيل;ويستر ثقلاء
ويستر نخبة;ويستر نخبة
يد زراعية;أيدٍ زراعية
