// لتسهيل الصيانة، تم ترتيب القائمة أبجدياً.
اختراق; يخترق
تسوية; يسوي
استخراج; يستخرج
بحث; يبحث
ذبح; يذبح
تحميل; يحمل
تزويد بالوقود; يزود بالوقود
زرع البذور; يزرع البذور
استخراج الوقود; يستخرج الوقود
زيارة; يزور
شحن; يشحن
ملء; يملأ
توفير المواد; يوفر المواد
دمج; يدمج
إفراغ; يفرغ
جز الصوف; يجز الصوف
قيادة للحظيرة; يقود للحظيرة
استراحة في; يستريح في
فتح; يفتح
حمل للسرير; يحمل للسرير
توصيل الطعام لـ; يوصل الطعام لـ
نقل للجراحة; ينقل للجراحة
إطلاق سراح; يطلق سراح
إزالة الطلاء; يزيل الطلاء
إعادة تلقيم; يعيد تلقيم
تبديل; يبدل
نقل; ينقل
تحدث مع; يتحدث مع
حلب; يحلب
إطعام; يطعم
طلاء; يطلي
محاولة الترويض; يروض
زراعة; يزرع
بناء; يبني
إطفاء; يطفئ
إصلاح; يصلح
إجراء طبي; يجري إجراءً طبياً
تفريغ; يفرغ
تجريد; يجرد
تفكيك; يفكك
إزالة السقف; يزيل السقف
تفكيك الجسر; يفكك الجسر
تعدين; يعدن
تفريغ الجعة; يفرغ الجعة
إزالة الأرضية; يزيل الأرضية
حصاد; يحصد
بناء سقف; يبني سقفاً
إنقاذ; ينقذ
قطع; يقطع
تنظيف; ينظف
إزالة الثلج; يزيل الثلج
تركيب مكونات سليمة في; يركب مكونات سليمة في
استخراج الجمجمة; يستخرج الجمجمة
