// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
// Example: مستعمر;مستعمرون
// ---
أرنب بري;أرانب برية
أرنب ثلجي;أرانب ثلجية
ألبكة;ألبكات
أوزة;أوز
أيل;أيائل
إغوانة;إغوانات
إنسان بري;بشر بريون
إيمو;إيموهات
بطة;بط
بقرة;أبقار
بومالوب;بومالوبات
بيسون;بيسونات
تائب;تائبون
تاجر;تجار
تاجر المدينة;تجار المدينة
ثرومبو;ثرومبوهات
ثعلب أحمر;ثعالب حمراء
ثعلب الفنك;ثعالب الفنك
ثعلب قطبي;ثعالب قطبية
جحش;جحاش
جدي;جداء
جرذ;جرذان
جرذ مفجر;جرذان مفجرة
جعران ضخم;جعارين ضخمة
جمل عربي;جمال عربية
جندي عتيق;جنود عتيقون
حارس المدينة;حراس المدينة
حاصد;حاصدون
حريش حارق;حريشات حارقة
حريش رشاش;حريشات رشاشة
حريش ناسف;حريشات ناسفة
حصان;أحصنة
حمار;حمير
حمل;حملان
حورية الجعران الضخم;حوريات الجعران الضخم
حورية خنفساء الكهوف;حوريات خنافس الكهوف
خروف;خراف
خنزير;خنازير
خنزير الماء;خنازير الماء
خنزير بري;خنازير برية
خنزير غينيا;خنازير غينيا
خنفساء كهوف;خنافس كهوف
خنوص;خنانوص
دب أشيب;دببة شيباء
دب قطبي;دببة قطبية
دجاجة;دجاج
دغفل;دغافل
ديك رومي;ديوك رومية
ذئب الغابة;ذئاب الغابة
ذئب قطبي;ذئاب قطبية
راكون;راكونات
رامح;رامحون
رامي رمح;رماة رماح
رامي سهام;رماة سهام
رامي سهام ثقيل;رماة سهام ثقلاء
رامي قنابل;رماة قنابل
رامي قنابل دخانية;رماة قنابل دخانية
رامي قنابل كهرومغناطيسية;رماة قنابل كهرومغناطيسية
زعيم;زعماء
زعيم رماة;زعماء رماة
زعيم هائجين;زعماء هائجين
سفاح مرتزق;سفاحون مرتزقة
سلحفاة برية;سلاحف برية
سنجاب;سناجب
شبل الدب الأشيب;أشبال الدب الأشيب
شبل الدب القطبي;أشبال الدب القطبي
شبل الكوجر;أشبال الكوجر
شبل النمر;أشبال النمر
شبنم;شبنميات
شينشيلا;شينشيلات
صياد;صيادون
عبد;عبيد
عضو قبيلة;أعضاء قبيلة
عضو مجلس المدينة;أعضاء مجلس المدينة
عنكبوت ضخم;عناكب ضخمة
غريب بالأسود;غرباء بالأسود
غزال;غزلان
فيل;فيلة
قرد;قرود
قروي;قرويون
قطة;قطط
قناص محترف مرتزق;قناصون محترفون مرتزقة
قناص مرتزق;قناصون مرتزقة
قندس ألفا;قنادس ألفا
كاريبو;كاريبوهات
كتكوت;كتاكيت
كسلان عملاق;كسلان عملاق
كوبرا;كوبرا
كوجر;كوجر
لابرادور ريتريفر;لابرادور ريتريفر
لاجئ فضائي;لاجئون فضائيون
ماعز;ماعز
متشرد;متشردون
محارب;محاربون
محطم نهاب;محطمون نهابون
مخترق;مخترقون
مدفعي قرصان;مدفعيون قراصنة
مدفعي نهاب;مدفعيون نهابون
مرتزق ثقيل;مرتزقة ثقلاء
مرتزق نخبة;مرتزقة نخبة
مستعمر;مستعمرون
مهر;أمهار
موفالو;موفالوات
نعامة;نعام
نمر;نمور
نمل أبيض;نمل أبيض
هائج;هائجون
هاسكي;هاسكي
هر الوشق;هررة الوشق
وحيد القرن;وحيد القرن
ورغ;ورغ
وشق;أوشاق
وعل;وعول
ياك;ياك
يرقة الجعران الضخم;يرقات الجعران الضخم
يرقة العنكبوت الضخم;يرقات العنكبوت الضخم
يرقة خنفساء الكهوف;يرقات خنفساء الكهوف
يوركشاير تيرير;يوركشاير تيرير
