// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
// Example: مستعمر;مستعمرون
// ---
حاج;حجاج
حطاب;حطابون
درياد حامل;دريادات حاملة
درياد صانع التوت;دريادات صانعة للتوت
درياد صانع الجورانلن;دريادات صانعة للجورانلن
درياد صانع الخشب;دريادات صانعة للخشب
درياد صانع الدواء;دريادات صانعة للدواء
درياد غير ناضج;دريادات غير ناضجة
درياد لحائي;دريادات لحائية
درياد مخلب;دريادات مخلبية
صياد;صيادون
متسول;متسولون
مزارع;مزارعون
مسافر حسن التجهيز;مسافرون حسنو التجهيز
معدّن;معدّنون
