// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
// Example: مستعمر;مستعمرون
// ---
أرماديلو;أرماديلو
أسد البحر;أسود البحر
باندا;باندات
بجعة;بجع
بطريق;بطاريق
بلشون;بلاشين
تمساح;تماسيح
ثرومبو ألفا;ثرومبوهات ألفا
ثور المسك;ثيران المسك
جرادة;جراد
حاكم;حكام
حلزون الحمم;حلزونات الحمم
درون حارس;درونات حارسة
درون صياد;درونات صيادة
ذئب عظيم;ذئاب عظيمة
زنبور;زنابير
سايكلوبس;سايكلوبس
سرطان الناسك;سرطانات الناسك
سرطان حجري;سرطانات حجرية
سلحفاة بحرية;سلاحف بحرية
سمان;سمانات
ضفدع الثور;ضفادع الثور
طائر أزرق;طيور زرقاء
طاووس;طواويس
عصفور;عصافير
عضو طاقم;أعضاء طاقم
عكبر ضخم;عكابر ضخمة
علجوم عظيم;علاجيم عظيمة
غراب;غربان
غرير;غريرات
غوريلا;غوريلات
فرس النهر;أفراس النهر
فظ;أفواظ
فقمة;فقمات
فلامينغو;فلامينغو
قاطع النقابة;قاطعو النقابة
قبطان قديم;قباطلة قدامى
قرصان ناهب;قراصنة ناهبون
قضاعة;قضاعات
قطة السيف;قطط السيف
كلب البراري;كلاب البراري
كلب المستنقع;كلاب المستنقع
ماستودون;ماستودونات
متخصص النقابة;متخصصو النقابة
مخردج;مخردجون
مدفعي النقابة;مدفعيو النقابة
مدفعي ثقيل;مدفعيون ثقلاء
مكاو;مكاوات
ملكة الخلية;ملكات الخلية
منك;منك
مواطن النقابة;مواطنو النقابة
موظ;موظ
ناهب النخبة;ناهبو النخبة
نسر;نسور
نمر;نمور
نيص;نيصات
ورل;أورال
ولفيرين;ولفيرين
يرقة;يرقات
