// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
// Example: مستعمر;مستعمرون
// ---
انكشاري;انكشارية
بارون;بارونات
برايتور;برايتورات
بطل;أبطال
تاجر إمبراطوري;تجار إمبراطوريون
جندي;جنود
جندي قنابل إمبراطوري;جنود قنابل إمبراطوريون
حارس نجمي;حراس نجميون
دوق;دوقات
ستيلارك;ستيلاركات
عامل إمبراطوري;عاملون إمبراطوريون
عبد;عبيد
فارس;فرسان
قنصل;قناصل
كاتافركت;كاتافركت
كونت;كونتات
لاجئ;لاجئون
مانح;مانحون
مدافع نجمي;مدافعون نجميون
مرافق;مرافقون
مواطن إمبراطوري;مواطنون إمبراطوريون
نبيل;نبلاء
جومان;جومان
