// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
ﻥﻭﺮﻤﻌﺘﺴﻣ;ﺮﻤﻌﺘﺴﻣ :Example //
// ---
ﺔﻜﺋﺎﺷ ﻊﺑﺎﺻﺃ;ﻚﺋﺎﺷ ﻊﺒﺻﺃ
ﻥﻮﺜﺣﺎﺑ;ﺚﺣﺎﺑ
ﻥﻮﻤﻠﻈﻣ ﻥﻮﺜﺣﺎﺑ;ﻢﻠﻈﻣ ﺚﺣﺎﺑ
ﺎﻴﻠﻋ ﻊﺑﺍﻮﺗ;ﻰﻠﻋﺃ ﻊﺑﺎﺗ
ﻥﻮﺤﻧﺮﺘﻣ ﺩﻮﻨﺟ;ﺢﻧﺮﺘﻣ ﻱﺪﻨﺟ
ﺔﻴﻧﺪﻌﻣ ﺏﺎﻋﺭﺃ;ﻲﻧﺪﻌﻣ ﺐﻋﺭ
ﺔﺟﺰﺘﻤﻣ ﺏﺎﻋﺭﺃ;ﺝﺰﺘﻤﻣ ﺐﻋﺭ
ﺮﺼﺒﻟﺍ ﻮﻗﺭﺎﺳ;ﺮﺼﺒﻟﺍ ﻕﺭﺎﺳ
ﺔﻴﺛﻼﺛ ﻙﻮﺷ;ﺔﻴﺛﻼﺛ ﺔﻛﻮﺷ
ﺔﻳﻮﻗ ﻙﻮﺷ;ﺔﻳﻮﻗ ﺔﻛﻮﺷ
ﻥﻭﺪﺋﺎﻋ;ﺪﺋﺎﻋ
ﺕﺎﻘﻔﺻ ﻭﺪﻗﺎﻋ;ﺕﺎﻘﻔﺻ ﺪﻗﺎﻋ
ﻥﻭﺪﻴﺣﻭ ﺓﺮﻗﺎﺒﻋ;ﺪﻴﺣﻭ ﻱﺮﻘﺒﻋ
ﻥﻮﻳﺪﻠﺟ ﺀﺎﺑﺮﻏ;ﻱﺪﻠﺟ ﺐﻳﺮﻏ
ﻚﻟﺎﻫﺭﻮﻏ;ﻚﻟﺎﻫﺭﻮﻏ
ﻥﻼﻴﻏ;ﻝﻮﻏ
ﺎﻴﻧﺩ ﻊﺑﺍﻮﺗ ﻥﻮﺻﺎﻨﻗ;ﻰﻧﺩﺃ ﻊﺑﺎﺗ ﺹﺎﻨﻗ
ﻦﻣﺰﻠﻟ ﺓﺮﺑﺎﻋ ﺕﺎﻨﺋﺎﻛ;ﻦﻣﺰﻠﻟ ﺮﺑﺎﻋ ﻦﺋﺎﻛ
ﻢﻟﻷﺍ ﺕﺍﺮﻛ;ﻢﻟﻷﺍ ﺓﺮﻛ
ﺕﺍﺮﻴﻤﻴﻛ;ﺍﺮﻴﻤﻴﻛ
ﻥﻮﺤﻧﺮﺘﻣ ﻥﻮﻠﺑﺮﺴﺘﻣ;ﺢﻧﺮﺘﻣ ﻞﺑﺮﺴﺘﻣ
ﻥﻭﺩﺮﺸﺘﻣ;ﺩﺮﺸﺘﻣ
ﻥﺎﻴﻤﻋ ﻥﻮﺠﻟﺎﻌﻣ;ﻰﻤﻋﺃ ﺞﻟﺎﻌﻣ
ﻥﻮﺳﺮﺘﻔﻣ;ﺱﺮﺘﻔﻣ
ﺎﻴﻧﺩ ﻊﺑﺍﻮﺗ ﻥﻮﻠﺗﺎﻘﻣ;ﻰﻧﺩﺃ ﻊﺑﺎﺗ ﻞﺗﺎﻘﻣ
ﺢﻴﺑﺎﺼﻤﻟﺍ ﻮﺳﻭﻮﻬﻣ;ﺢﻴﺑﺎﺼﻤﻟﺍ ﺱﻭﻮﻬﻣ
ﻢﺤﻠﻟﺍ ﻞﺘﻛ ﺕﺎﻳﻮﻧ;ﻢﺤﻠﻟﺍ ﺔﻠﺘﻛ ﺓﺍﻮﻧ
ﻝﻮﺘﻛﻮﻧ;ﻝﻮﺘﻛﻮﻧ
ﻡﺪﻟﺍ ﻮﻠﺋﺎﻫ;ﻡﺪﻟﺍ ﻞﺋﺎﻫ
ﻒﺋﺍﻮﻃ ﻦﻣ ﻥﻮﺑﺭﺎﻫ;ﺔﻔﺋﺎﻃ ﻦﻣ ﺏﺭﺎﻫ
