.ًﺎﻳﺪﺠﺑﺃ ﺔﻤﺋﺎﻘﻟﺍ ﺐﻴﺗﺮﺗ ﻢﺗ ،ﺔﻧﺎﻴﺼﻟﺍ ﻞﻴﻬﺴﺘﻟ //
ﻕﺮﺘﺨﻳ ;ﻕﺍﺮﺘﺧﺍ
ﻱﻮﺴﻳ ;ﺔﻳﻮﺴﺗ
ﺝﺮﺨﺘﺴﻳ ;ﺝﺍﺮﺨﺘﺳﺍ
ﺚﺤﺒﻳ ;ﺚﺤﺑ
ﺢﺑﺬﻳ ;ﺢﺑﺫ
ﻞﻤﺤﻳ ;ﻞﻴﻤﺤﺗ
ﺩﻮﻗﻮﻟﺎﺑ ﺩﻭﺰﻳ ;ﺩﻮﻗﻮﻟﺎﺑ ﺪﻳﻭﺰﺗ
ﺭﻭﺬﺒﻟﺍ ﻉﺭﺰﻳ ;ﺭﻭﺬﺒﻟﺍ ﻉﺭﺯ
ﺩﻮﻗﻮﻟﺍ ﺝﺮﺨﺘﺴﻳ ;ﺩﻮﻗﻮﻟﺍ ﺝﺍﺮﺨﺘﺳﺍ
ﺭﻭﺰﻳ ;ﺓﺭﺎﻳﺯ
ﻦﺤﺸﻳ ;ﻦﺤﺷ
ﻸﻤﻳ ;ﺀﻞﻣ
ﺩﺍﻮﻤﻟﺍ ﺮﻓﻮﻳ ;ﺩﺍﻮﻤﻟﺍ ﺮﻴﻓﻮﺗ
ﺞﻣﺪﻳ ;ﺞﻣﺩ
ﻍﺮﻔﻳ ;ﻍﺍﺮﻓﺇ
ﻑﻮﺼﻟﺍ ﺰﺠﻳ ;ﻑﻮﺼﻟﺍ ﺰﺟ
ﺓﺮﻴﻈﺤﻠﻟ ﺩﻮﻘﻳ ;ﺓﺮﻴﻈﺤﻠﻟ ﺓﺩﺎﻴﻗ
ﻲﻓ ﺢﻳﺮﺘﺴﻳ ;ﻲﻓ ﺔﺣﺍﺮﺘﺳﺍ
ﺢﺘﻔﻳ ;ﺢﺘﻓ
ﺮﻳﺮﺴﻠﻟ ﻞﻤﺤﻳ ;ﺮﻳﺮﺴﻠﻟ ﻞﻤﺣ
ـﻟ ﻡﺎﻌﻄﻟﺍ ﻞﺻﻮﻳ ;ـﻟ ﻡﺎﻌﻄﻟﺍ ﻞﻴﺻﻮﺗ
ﺔﺣﺍﺮﺠﻠﻟ ﻞﻘﻨﻳ ;ﺔﺣﺍﺮﺠﻠﻟ ﻞﻘﻧ
ﺡﺍﺮﺳ ﻖﻠﻄﻳ ;ﺡﺍﺮﺳ ﻕﻼﻃﺇ
ﺀﻼﻄﻟﺍ ﻞﻳﺰﻳ ;ﺀﻼﻄﻟﺍ ﺔﻟﺍﺯﺇ
ﻢﻴﻘﻠﺗ ﺪﻴﻌﻳ ;ﻢﻴﻘﻠﺗ ﺓﺩﺎﻋﺇ
ﻝﺪﺒﻳ ;ﻞﻳﺪﺒﺗ
ﻞﻘﻨﻳ ;ﻞﻘﻧ
ﻊﻣ ﺙﺪﺤﺘﻳ ;ﻊﻣ ﺙﺪﺤﺗ
ﺐﻠﺤﻳ ;ﺐﻠﺣ
ﻢﻌﻄﻳ ;ﻡﺎﻌﻃﺇ
ﻲﻠﻄﻳ ;ﺀﻼﻃ
ﺽﻭﺮﻳ ;ﺾﻳﻭﺮﺘﻟﺍ ﺔﻟﻭﺎﺤﻣ
ﻉﺭﺰﻳ ;ﺔﻋﺍﺭﺯ
ﻲﻨﺒﻳ ;ﺀﺎﻨﺑ
ﺊﻔﻄﻳ ;ﺀﺎﻔﻃﺇ
ﺢﻠﺼﻳ ;ﺡﻼﺻﺇ
ًﺎﻴﺒﻃ ًﺀﺍﺮﺟﺇ ﻱﺮﺠﻳ ;ﻲﺒﻃ ﺀﺍﺮﺟﺇ
ﻍﺮﻔﻳ ;ﻎﻳﺮﻔﺗ
ﺩﺮﺠﻳ ;ﺪﻳﺮﺠﺗ
ﻚﻜﻔﻳ ;ﻚﻴﻜﻔﺗ
ﻒﻘﺴﻟﺍ ﻞﻳﺰﻳ ;ﻒﻘﺴﻟﺍ ﺔﻟﺍﺯﺇ
ﺮﺴﺠﻟﺍ ﻚﻜﻔﻳ ;ﺮﺴﺠﻟﺍ ﻚﻴﻜﻔﺗ
ﻥﺪﻌﻳ ;ﻦﻳﺪﻌﺗ
ﺔﻌﺠﻟﺍ ﻍﺮﻔﻳ ;ﺔﻌﺠﻟﺍ ﻎﻳﺮﻔﺗ
ﺔﻴﺿﺭﻷﺍ ﻞﻳﺰﻳ ;ﺔﻴﺿﺭﻷﺍ ﺔﻟﺍﺯﺇ
ﺪﺼﺤﻳ ;ﺩﺎﺼﺣ
ًﺎﻔﻘﺳ ﻲﻨﺒﻳ ;ﻒﻘﺳ ﺀﺎﻨﺑ
ﺬﻘﻨﻳ ;ﺫﺎﻘﻧﺇ
ﻊﻄﻘﻳ ;ﻊﻄﻗ
ﻒﻈﻨﻳ ;ﻒﻴﻈﻨﺗ
ﺞﻠﺜﻟﺍ ﻞﻳﺰﻳ ;ﺞﻠﺜﻟﺍ ﺔﻟﺍﺯﺇ
ﻲﻓ ﺔﻤﻴﻠﺳ ﺕﺎﻧﻮﻜﻣ ﺐﻛﺮﻳ ;ﻲﻓ ﺔﻤﻴﻠﺳ ﺕﺎﻧﻮﻜﻣ ﺐﻴﻛﺮﺗ
ﺔﻤﺠﻤﺠﻟﺍ ﺝﺮﺨﺘﺴﻳ ;ﺔﻤﺠﻤﺠﻟﺍ ﺝﺍﺮﺨﺘﺳﺍ
