:ﻝﻭﺪﺠﻟﺍ ﻖﻴﺴﻨﺗ //
//
//    subject; subj nominative; subj genitive
//
.ﻪﻔﺻﻭﻭ ﺏﺎﺘﻜﻟﺍ ﻢﺳﺍ ﺪﻴﻟﻮﺗ ﻲﻓ ﻡﺪﺨﺘﺴُﻳ ،Core\..\SkillDef\Skills.xml ﻦﻣ "subject" ﺮﻴﻐﺘﻤﻟﺍ — subject //
.ﺏﺎﺘﻜﻟﺍ ﻢﺳﺍ ﺪﻴﻟﻮﺗ ﻲﻓ ﻡﺪﺨﺘﺴُﻳ ،subject ـﻟ ﻑﺩﺍﺮﻣ ﻭﺃ ﺓﺮﻴﺼﻗ ﺔﻐﻴﺻ — subj //

// Animals
ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ;ﺕﺎﻧﺍﻮﻴﺣ ;ﺔﻴﻧﺍﻮﻴﺤﻟﺍ ﺀﺎﻀﻋﻷﺍ ﻒﺋﺎﻇﻭ ﻢﻠﻋ
ﻲﺷﺍﻮﻤﻟﺍ ;ﻲﺷﺍﻮﻣ ;ﺔﻴﺷﺎﻤﻟﺍ ﺔﻴﺑﺮﺗ
ﺾﻳﻭﺮﺘﻟﺍ ;ﺾﻳﻭﺮﺗ ;ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ﺾﻳﻭﺮﺗ
ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ﺔﻴﺑﺮﺗ ;ﻥﺍﻮﻴﺤﻟﺍ ﺔﻴﺑﺮﺗ ;ﻲﻧﺍﻮﻴﺤﻟﺍ ﺝﺎﺘﻧﻹﺍ
ﺐﻳﺭﺪﺘﻟﺍ ;ﺐﻳﺭﺪﺗ ;ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ﺐﻳﺭﺪﺗ
ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ;ﺎﻴﺟﻮﻟﻭﻭﺯ ;ﻥﺍﻮﻴﺤﻟﺍ ﻢﻠﻋ
ﻡﺎﻨﻏﻷﺍ ;ﻡﺎﻨﻏﺃ ;ﻡﺎﻨﻏﻷﺍ ﺔﻴﺑﺮﺗ
ﺱﺎﻨﺌﺘﺳﻻﺍ ;ﺱﺎﻨﺌﺘﺳﺍ ;ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ﺱﺎﻨﺌﺘﺳﺍ
ﺔﻳﺮﺒﻟﺍ ﺓﺎﻴﺤﻟﺍ ;ﺔﻳﺮﺑ ﺓﺎﻴﺣ ;ﺔﻳﺮﺒﻟﺍ ﺓﺎﻴﺤﻟﺍ ﻑﺎﺸﻜﺘﺳﺍ
ﺔﻳﺭﻮﻄﺳﻷﺍ ﺵﻮﺣﻮﻟﺍ ;ﺔﻳﺭﻮﻄﺳﺃ ﺵﻮﺣﻭ ;ﺔﻴﻔﺨﻟﺍ ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ﻢﻠﻋ
ﺭﻮﻴﻄﻟﺍ ;ﺭﻮﻴﻃ ;ﻦﺟﺍﻭﺪﻟﺍ ﺔﻴﺑﺮﺗ

// Artistic
ﻥﻮﻨﻔﻟﺍ ;ﻦﻓ ;ﺔﻴﻨﻓ ﺕﺎﺳﺍﺭﺩ
