// Auto-generated by updatePlural.ts
// Add Arabic plural after the semicolon for each word
ﻥﻭﺮﻤﻌﺘﺴﻣ;ﺮﻤﻌﺘﺴﻣ :Example //
// ---
ﺝﺎﺠﺣ;ﺝﺎﺣ
ﻥﻮﺑﺎﻄﺣ;ﺏﺎﻄﺣ
ﺔﻠﻣﺎﺣ ﺕﺍﺩﺎﻳﺭﺩ;ﻞﻣﺎﺣ ﺩﺎﻳﺭﺩ
ﺕﻮﺘﻠﻟ ﺔﻌﻧﺎﺻ ﺕﺍﺩﺎﻳﺭﺩ;ﺕﻮﺘﻟﺍ ﻊﻧﺎﺻ ﺩﺎﻳﺭﺩ
ﻦﻠﻧﺍﺭﻮﺠﻠﻟ ﺔﻌﻧﺎﺻ ﺕﺍﺩﺎﻳﺭﺩ;ﻦﻠﻧﺍﺭﻮﺠﻟﺍ ﻊﻧﺎﺻ ﺩﺎﻳﺭﺩ
ﺐﺸﺨﻠﻟ ﺔﻌﻧﺎﺻ ﺕﺍﺩﺎﻳﺭﺩ;ﺐﺸﺨﻟﺍ ﻊﻧﺎﺻ ﺩﺎﻳﺭﺩ
ﺀﺍﻭﺪﻠﻟ ﺔﻌﻧﺎﺻ ﺕﺍﺩﺎﻳﺭﺩ;ﺀﺍﻭﺪﻟﺍ ﻊﻧﺎﺻ ﺩﺎﻳﺭﺩ
ﺔﺠﺿﺎﻧ ﺮﻴﻏ ﺕﺍﺩﺎﻳﺭﺩ;ﺞﺿﺎﻧ ﺮﻴﻏ ﺩﺎﻳﺭﺩ
ﺔﻴﺋﺎﺤﻟ ﺕﺍﺩﺎﻳﺭﺩ;ﻲﺋﺎﺤﻟ ﺩﺎﻳﺭﺩ
ﺔﻴﺒﻠﺨﻣ ﺕﺍﺩﺎﻳﺭﺩ;ﺐﻠﺨﻣ ﺩﺎﻳﺭﺩ
ﻥﻭﺩﺎﻴﺻ;ﺩﺎﻴﺻ
ﻥﻮﻟﻮﺴﺘﻣ;ﻝﻮﺴﺘﻣ
ﻥﻮﻋﺭﺍﺰﻣ;ﻉﺭﺍﺰﻣ
ﺰﻴﻬﺠﺘﻟﺍ ﻮﻨﺴﺣ ﻥﻭﺮﻓﺎﺴﻣ;ﺰﻴﻬﺠﺘﻟﺍ ﻦﺴﺣ ﺮﻓﺎﺴﻣ
ﻥﻮﻧّﺪﻌﻣ;ﻥّﺪﻌﻣ
